Name,Size, Dashboard Code,Include/Exclude,Segment Category,Segment Frequency,Segment Time Period,Segment Name,Segment Description
18-24 year olds,941539,AP_b is 1002,Include,Demographics - Age,Survey,Survey,18-24 year olds,We define these users as those who are 18-24 years old
18-30 year olds,3381664,AP_b is 1026,Include,Demographics - Age,Survey,Survey,18-30 year olds,We define these users as those who are 18-30 years old
18-40 year olds,105,AP_b is 1030,Include,Demographics - Age,Survey,Survey,18-40 year olds,We define these users as those who are 18-40 years old
20-50 year olds,2733627,AP_b is 1031,Include,Demographics - Age,Survey,Survey,20-50 year olds,We define these users as those who are 20-50 years old
25-34 year olds,571465,AP_b is 1006,Include,Demographics - Age,Survey,Survey,25-34 year olds,We define these users as those who are 25-34 years old
25-44 Females,2866425, AP_a & AP_b ,Include,Demographics Custom,Survey,Survey,25-44 Females,We define these users as those who are 25-44 females
25-44 Males,201110, AP_a & AP_b ,Include,Demographics Custom,Survey,Survey,25-44 Males,We define these users as those who are 25-44 males
35+ Females,7787352, AP_a & AP_b ,Include,Demographics Custom,Survey,Survey,35+ Females,We define these users as those who are 35+ females
35+ Males,4490689, AP_a & AP_b ,Include,Demographics Custom,Survey,Survey,35+ Males,We define these users as those who are 35+ males
35+ Pet owners,6661260, AP_b & AP_x ,Include,Demographics Custom,Survey,Survey,35+ Pet owners,We define these users as those who are 35+ pet owners
35+ with children in HH,4897211, AP_b & AP_d ,Include,Demographics Custom,Survey,Survey,35+ with children in HH,We define these users as those who are 35+ with children in the household
35-44 year olds,1627286,AP_b is 1010,Include,Demographics - Age,Survey,Survey,35-44 year olds,We define these users as those who are 35-44 years old
45-54 year olds,1227660,AP_b is 1013,Include,Demographics - Age,Survey,Survey,45-54 year olds,We define these users as those who are 45-54 years old
55+ Females,4956978, AP_a & AP_b ,Include,Demographics Custom,Survey,Survey,55+ Females,We define these users as those who are 55+ females
55+ Males,4842095, AP_a & AP_b ,Include,Demographics Custom,Survey,Survey,55+ Males,We define these users as those who are 55+ males
55-64 year olds,2724569,AP_b is 1017,Include,Demographics - Age,Survey,Survey,55-64 year olds,We define these users as those who are 55-64 years old
65+,5438878,AP_b is 1020,Include,Demographics - Age,Survey,Survey,65+,We define these users as those who are 65+
ABC1,6648589, AP_c & AP_f ,Include,Demographics Custom,Survey,Survey,ABC1,We define these users as those who are employed and have a medium to high income
ABC1 35+,6218803, AP_b & AP_c & AP_f ,Include,Demographics Custom,Survey,Survey,ABC1 35+,"We define these users as those who are 35+, employed and have a medium to high income"
Action film fans,636366,AP_x is 15876,Include,Arts & Entertainment,Survey,Survey,Action film fans,We define these users as those who enjoy watching action films
Activity/sporting/skiing holiday goers,646285,AP_x is 15146,Include,Holiday intenders,Survey,Survey,Activity/sporting/skiing holiday goers,We define these users as those who prefer going on activity/sporting/skiing holidays
Adventure film fans,1065724,AP_x is 15877,Include,Arts & Entertainment,Survey,Survey,Adventure film fans,We define these users as those who enjoy watching adventure films
Affluent females,3089377, AP_a & AP_c ,Include,Demographics Custom,Survey,Survey,Affluent females,We define these users as those who are females with a high income
Affluent males,3880558, AP_a & AP_c ,Include,Demographics Custom,Survey,Survey,Affluent males,We define these users as those who are males with a high income
Affordable haircare product users,2395448,AP_x is 15885,Include,Beauty,Survey,Survey,Affordable haircare product users,We define these users as those who tend to chose affordable products for their haircare regime
Aldi shoppers,2512699,AP_x is 14219,Include,Food & Drink,Survey,Survey,Aldi shoppers,We define these users as those who prefer to shop at Aldi
Amazon music subscribers,4175229,AP_x is 15429,Include,Arts & Entertainment,Survey,Survey,Amazon music subscribers,We define these users as those who are subscribed to Amazon Music
Amazon prime subscribers,1890652,AP_x is 10472,Include,Arts & Entertainment,Survey,Survey,Amazon prime subscribers,We define these users as those who are subscribed to Amazon Prime
Apple music subscribers,836300,AP_x is 15432,Include,Arts & Entertainment,Survey,Survey,Apple music subscribers,We define these users as those who are subscribed to Apple music
Apple TV subscribers,0,AP_x is 15408,Include,Arts & Entertainment,Survey,Survey,Apple TV subscribers,We define these users as those who are subscribed to Apple TV
Arts & Entertainment - Audible & Podcast fans (O & All Time),260901,Permutive is 32224,Include,Arts & Entertainment,Occasional,All Time,Audible & Podcast fans content fans,We define these users as those who regularly browse Audible & Podcast content
Arts & Entertainment - Avengers (O & All time),76918,Permutive is 7428,Include,Arts & Entertainment,Occasional,All Time,Avengers content fans,We define these users as those who regularly browse Avengers content
Arts & Entertainment - Avengers (R & All time),19765,Permutive is 7429,Include,Arts & Entertainment,Regular,All Time,Avengers content fans,We define these users as those who regularly browse Avengers content
Arts & Entertainment - Bafta Fans (O & All time),389919,Permutive is 25965,Include,Arts & Entertainment,Occasional,All Time,Bafta  content fans,We define these users as those who regularly browse Bafta content
Arts & Entertainment - Bake Off Fans (O & All time),453547,Permutive is 6892,Include,Arts & Entertainment,Occasional,All Time,Bake Off  content fans,We define these users as those who regularly browse Bake Off content
"Arts & Entertainment - Breaking Bad Fans (O & All time) [Lookalike: 92.7% similarity, including seed]",232924,Permutive is 21774,Include,Arts & Entertainment,Occasional,All Time,Breaking Bad  content fans,We define these users as those who regularly browse Breaking Bad content
Arts & Entertainment - British TV/Film (R & All time),11480622,Permutive is 19639,Include,Arts & Entertainment,Regular,All Time,British TV/Film content fans,We define these users as those who regularly browse British TV/Film content
Arts & Entertainment - Celebrity/Reality (R & All time),460794,Permutive is 7751,Include,Arts & Entertainment,Regular,All Time,Celebrity/Reality content fans,We define these users as those who regularly browse Celebrity Reality content
Arts & Entertainment - Channel 4 fans (O & All time),1103175,Permutive is 16499,Include,Arts & Entertainment,Occasional,All Time,Channel 4 fans content fans,We define these users as those who regularly browse Channel 4 content
Arts & Entertainment - Cinema Goers (O & All Time),728677,Permutive is 27110,Include,Arts & Entertainment,Occasional,All Time,Cinema Goers Cinema goers,We define these users as those who regularly browse  new movie release content
Arts & Entertainment - Comedy (O & All time),826383,Permutive is 12621,Include,Arts & Entertainment,Occasional,All Time,Comedy content fans,We define these users as those who regularly browse Comedy content
Arts & Entertainment - Crafters 1P (O & All time),1174593,Permutive is 33207,Include,Arts & Entertainment,Occasional,All Time,Crafters 1P enthusiasts,We define these users as those who regularly browse Craft content
Arts & entertainment - Crime (O & All Time),8620649,Permutive is 49633,Include,Arts & entertainment,Occasional,All Time,Crime content fans,We define these users as those who regularly browse Crime content
Arts & Entertainment - Culture Seekers (R & All time),2595074,Permutive is 7778,Include,Arts & Entertainment,Regular,All Time,Culture Seekers Culture seekers,"We define these users as those who regularly browse  arts, drama or music content"
Arts & Entertainment - David Attenborough (O & All time),253191,Permutive is 8274,Include,Arts & Entertainment,Occasional,All Time,David Attenborough content fans,We define these users as those who regularly browse David Attenborough content
"Arts & Entertainment - Discovery+ (R & All time) [Lookalike: 94.1% similarity, including seed]",338082,Permutive is 129663,Include,Arts & Entertainment,Regular,All Time,Discovery+ content fans,We define these users as those who regularly browse Discovery+ content across our websites
Arts & Entertainment - Doctor Who (O & All Time),844161,Permutive is 6149,Include,Arts & Entertainment,Occasional,All Time,Doctor Who content fans,We define these users as those who regularly browse Doctor Who content
Arts & Entertainment - Documentary (O & All time),1360806,Permutive is 6499,Include,Arts & Entertainment,Occasional,All Time,Documentary content fans,We define these users as those who regularly browse Documentary content
"Arts & Entertainment - Documentary (R & 90 Days) [Lookalike: 95.2% similarity, including seed]",192332,Permutive is 124462,Include,Arts & Entertainment,Regular,90 Days,Documentary content fans,We define these users as those who regularly browse documentary films content across our websites
Arts & Entertainment - Drama (O & All Time),14134852,Permutive is 31499,Include,Arts & Entertainment,Occasional,All Time,Drama content fans,We define these users as those who regularly browse Drama content
Arts & Entertainment - Entertainment (R & 90 Days),534575,Permutive is 124264,Include,Arts & Entertainment,Regular,90 Days,Entertainment content fans,"We define these users as those who regularly browse the ""Entertainment"" section on Radio Times"
Arts & Entertainment - Factual TV Shows (O & All Time),5695270,Permutive is 43746,Include,Arts & Entertainment,Occasional,All Time,Factual TV Shows content fans,We define these users as those who regularly browse Factual TV Shows content
Arts & Entertainment - Family Films (R & All Time),186059,Permutive is 117047,Include,Arts & Entertainment,Regular,All Time,Family Films content fans,We define these users as those who regularly browse family films content across our websites
Arts & Entertainment - Fantasy (O & All time),1874898,Permutive is 16117,Include,Arts & Entertainment,Occasional,All Time,Fantasy content fans,We define these users as those who regularly browse Fantasy content
Arts & Entertainment - Film (O & All time),2948333,Permutive is 6158,Include,Arts & Entertainment,Occasional,All Time,Film content fans,We define these users as those who regularly browse Film content
Arts & Entertainment - Film fans (R & All time),4021410,Permutive is 6457,Include,Arts & Entertainment,Regular,All Time,Film fans content fans,We define these users as those who regularly browse Film content
Arts & Entertainment - First World War (O & All time),70142,Permutive is 8049,Include,Arts & Entertainment,Occasional,All Time,First World War content fans,We define these users as those who regularly browse First World War content
Arts & Entertainment - Game of Thrones (O & All time),41712,Permutive is 9929,Include,Arts & Entertainment,Occasional,All Time,Game of Thrones content fans,We define these users as those who regularly browse Game of Thrones content
