brand,vertical,source,needs_review
AA,Motoring,seed,false
AEG,Entertainment,seed,false
AMEX,Finance,seed,false
ASDA,Supermarket,seed,false
Abarth,Motoring,seed,false
Abbott,Food & Drink,seed,false
Age of Elegance,Entertainment,seed,false
Agency Press Ltd T/A Sold Out Advertising,Entertainment,seed,false
Aldi,Supermarket,seed,false
Alfa Romeo,Motoring,seed,false
Alpen,Food & Drink,seed,false
Alpine,Motoring,seed,false
American Pistachio,Food & Drink,seed,false
Angelcare,Parenting,seed,false
Apple,Entertainment,seed,false
Arla,Food & Drink,seed,false
Arla Lurpak,Food & Drink,seed,false
Asda,Food & Drink,seed,false
Astus,Food & Drink,seed,false
Audible,Entertainment,seed,false
Autoglym Perfect Partners,Motoring,seed,false
Avios,Travel,seed,false
Aviva,Health,seed,false
B&M,Food & Drink,seed,false
BBC Good Food,Food & Drink,seed,false
BMW,Motoring,seed,false
BSskyb,Entertainment,seed,false
BYD,Motoring,seed,false
Barclays,Government,seed,false
Barretine Spring + Summer GW,Home & Garden,seed,false
Bart Ingredients,Food & Drink,seed,false
Beko,Technology,seed,false
BioGaia,Parenting,seed,false
Birds Eye,Food & Drink,seed,false
Bisodol,Food & Drink,seed,false
Bletchley Park,Entertainment,seed,false
Bloomsbury,Entertainment,seed,false
Bloomsbury - Emperor Of Seas,Entertainment,seed,false
Bloomsbury - Jon Watts,Entertainment,seed,false
Bloomsbury - Poppy Cooks,Entertainment,seed,false
Bolsover Cruises,Travel,seed,false
Box,Parenting,seed,false
Brown Forman + El Jimador,Alcohol,seed,false
CNIEL,Food & Drink,seed,false
Carte D'Or,Food & Drink,seed,false
Castello,Food & Drink,seed,false
Centrum,Health,seed,false
Ceres Walnuts,Food & Drink,seed,false
Chery,Motoring,seed,false
Cost Cutter,Food & Drink,seed,false
Crowded House,Entertainment,seed,false
Cupra,Motoring,seed,false
Cuprinol,Health,seed,false
Currys Blink,Entertainment,seed,false
Dacia,Motoring,seed,false
Damart,Retail,seed,false
Damart - Black Friday,Supermarket,seed,false
David Austin Roses,Home & Garden,seed,false
David Essex,Entertainment,seed,false
De'Longhi,Food & Drink,seed,false
De'longi,Food & Drink,seed,false
Diageo,Alcohol,seed,false
Disney+,Entertainment,seed,false
Dr Brown,Parenting,seed,false
E.ON,Technology,seed,false
E.ON Smart Energy,Technology,seed,false
Eco Manure,Home & Garden,seed,false
Ecofurb,Entertainment,seed,false
Electorial Commission,Government,seed,false
Energizer,Motoring,seed,false
European Mushrooms,Food & Drink,seed,false
Filippo Berrio,Food & Drink,seed,false
Finish,Food & Drink,seed,false
Florette,Food & Drink,seed,false
Ford,Motoring,seed,false
Fortnum and Mason,Retail,seed,false
Fortum & Mason,Food & Drink,seed,false
Gousto,Food & Drink,seed,false
Grana Padano,Food & Drink,seed,false
Great Rail Journeys,Travel,seed,false
HBO Max,Entertainment,seed,false
Haier,Food & Drink,seed,false
Hays OctNov,Travel,seed,false
Hays Travel,Travel,seed,false
Hays Travel - Feb,Travel,seed,false
Hays Travel - Jan 2025,Travel,seed,false
Hays Travel - June,Travel,seed,false
Hays Travel - May,Travel,seed,false
Hendricks,Alcohol,seed,false
Holiday Property Bond,Travel,seed,false
Holland & Barrett,Health,seed,false
Hu Chocolate,Food & Drink,seed,false
Hurtigruten,Travel,seed,false
Hyundai Motor (UK),Motoring,seed,false
ITV,Entertainment,seed,false
If You Care,Food & Drink,seed,false
Immediate Media,Retail,seed,false
Inspired Villages Group Limited,Entertainment,seed,false
Itsu,Food & Drink,seed,false
Jaguar Landrover,Motoring,seed,false
Jason's Sourdough,Food & Drink,seed,false
Kerrygold,Food & Drink,seed,false
Kikkoman,Food & Drink,seed,false
Knorrr,Food & Drink,seed,false
La Vieja Fábrica,Food & Drink,seed,false
Laithwaites,Alcohol,seed,false
Lego UK,Parenting,seed,false
Lidl,Supermarket,seed,false
Life Health Foods,Parenting,seed,false
Linwoods,Food & Drink,seed,false
Live Nation,Entertainment,seed,false
Long Clawson,Food & Drink,seed,false
Marks & Spencer,Food & Drink,seed,false
Mars,Food & Drink,seed,false
Marti Pellow,Food & Drink,seed,false
Mattel UK,Entertainment,seed,false
Merchant Gourmet,Food & Drink,seed,false
Miller & Carter,Food & Drink,seed,false
Morrisons,Supermarket,seed,false
My Expert Midwife,Parenting,seed,false
NOW TV,Entertainment,seed,false
Nacon,Gaming,seed,false
Nacon - Rugby '25,Gaming,seed,false
National Geographic,Entertainment,seed,false
National Theatre,Entertainment,seed,false
Nestle - Maggi,Food & Drink,seed,false
Nestle Purina,Pets,seed,false
Ninja,Technology,seed,false
Nintendo,Gaming,seed,false
Nissan,Motoring,seed,false
Norwegian Seafood,Food & Drink,seed,false
Not On The High Street,Entertainment,seed,false
Nutracheck,Entertainment,seed,false
OOONO,Entertainment,seed,false
ORD-00288785_Opportunity Direct - Itsu_Yonder_Product Launch_Sept 2024,Food & Drink,seed,false
ORD-00290307 Microsoft Consumer // Direct // Dentsu // 4th Nov - 17th Jan,Technology,seed,false
Ocado,Parenting,seed,false
Omada,Motoring,seed,false
Outfit 7,Gaming,seed,false
Outfit 7 - Hank Anniversary,Gaming,seed,false
Oxford University Press,Entertainment,seed,false
P&O Cruises,Travel,seed,false
Pack'd,Food & Drink,seed,false
Paramount+,Entertainment,seed,false
Pearson Education Limited,Entertainment,seed,false
Pearson Examiner,Parenting,seed,false
Penfolds,Alcohol,seed,false
Pernod Ricard,Alcohol,seed,false
Peter Nyssen,Home & Garden,seed,false
Peugeot,Motoring,seed,false
Piccolo,Food & Drink,seed,false
Pink Lady,Food & Drink,seed,false
Playseat,Gaming,seed,false
Positec Worx,Home & Garden,seed,false
Post Office,Government,seed,false
President Cream,Food & Drink,seed,false
Primula,Food & Drink,seed,false
Primula - Easter,Food & Drink,seed,false
Princess Cruises,Travel,seed,false
Profile Books,Entertainment,seed,false
Quickline Broadband,Technology,seed,false
Radio Times Marketting,Entertainment,seed,false
Rare & Pasture,Food & Drink,seed,false
Red Tractor,Food & Drink,seed,false
Regina,Food & Drink,seed,false
Renault,Motoring,seed,false
Ristorante,Food & Drink,seed,false
River Street Events,Home & Garden,seed,false
Rowse,Food & Drink,seed,false
Ruth Strauss,Health,seed,false
Ruth Strauss Foundation,Health,seed,false
Saga,Travel,seed,false
Sainsburys,Food & Drink,seed,false
Sarson's,Food & Drink,seed,false
Screw This Podcast - House Campaign,Entertainment,seed,false
Skoda,Motoring,seed,false
Sky,Entertainment,seed,false
Soberano,Alcohol,seed,false
Sold Out,Entertainment,seed,false
Specsavers,Health,seed,false
Spinnaker London,Food & Drink,seed,false
Spode,Food & Drink,seed,false
St Ewe,Food & Drink,seed,false
Stake,Gambling,seed,false
Suma Wholefoods,Food & Drink,seed,false
Superdrug,Health,seed,false
TUI,Travel,seed,false
TV5 Monde,Entertainment,seed,false
Tesco,Supermarket,seed,false
Thames and Hudson // D-Day Atlas - Charles Messenger,Entertainment,seed,false
The Baby Show,Parenting,seed,false
The Crown Estate,Food & Drink,seed,false
The Professional Framing Company,Entertainment,seed,false
The Royal Mint,Food & Drink,seed,false
The Walt Disney Company,Entertainment,seed,false
Ticketmaster,Entertainment,seed,false
Tom Kerridge,Entertainment,seed,false
Toyota,Motoring,seed,false
Transport for Wales Rail,Travel,seed,false
Turtle Wax,Motoring,seed,false
Twix,Food & Drink,seed,false
Universal Pictures,Entertainment,seed,false
Uzbekistan Food Festival,Food & Drink,seed,false
Uzbekistan Travel,Travel,seed,false
Visa,Retail,seed,false
Visit Orlando,Travel,seed,false
Waitrose,Supermarket,seed,false
Wargaming Group Ltd,Gaming,seed,false
Warner - Tom Kerridge,Entertainment,seed,false
