advertiser,campaign_name,campaign_id,category,start_date,impressions,clicks
Nutracheck,Nutracheck,1856812,On-Demand,2025-01-01,101776567,44762
Nutracheck,Nutracheck,1856812,On-Demand,2025-01-01,44519144,34225
BBC Good Food,Magazine-Subscription-GF-Christmas-Issue,2230055,Food,2025-01-01,40862256,16443
Nutracheck,Nutracheck,1856812,On-Demand,2024-01-01,35707683,12298
BBC Good Food,Magazine-Subscription-GF-Christmas-Issue,2230055,Food,2025-01-01,22864578,9632
BBC Good Food,Magazine-Subscription-GF-Christmas-Issue,2230055,Food,2025-01-01,21944080,9286
BBC Good Food,Magazine-Subscription-GF-Christmas-Issue,2230055,Food,2025-01-01,21742705,9116
BBC Good Food,Magazine-Subscription-GF-Christmas-Issue,2230055,Food,2025-01-01,21742417,9026
Radio Times Marketting,Radio Times Marketting - 2024,1537204,Entertainment,2024-01-01,21727165,0
BBC Good Food,Magazine-Subscription-GF-Christmas-Issue,2230055,Food,2026-01-01,14153650,4102
BBC Good Food,Magazine-Subscription-GF-Christmas-Issue,2230055,Food,2025-01-01,10791997,4581
BBC Good Food,Husk,2232713,Food,2025-01-01,9294360,3756
BBC Good Food,GF App House Ads ,2234260,Food,2025-01-01,8605980,3496
BBC Good Food,Magazine-Subscription-GF-Christmas-Issue,2230055,Food,2025-01-01,5611379,3818
Nutracheck,Nutracheck,1856812,On-Demand,2025-01-01,5568248,5262
BBC Good Food,Magazine-Subscription-GF-Christmas-Issue,2230055,Food,2026-01-01,5220847,1151
Diageo,ORD-00290179_Diageo_Whisky_Widget_PHD_Jan-June25,1953536,Alcohol,2025-01-01,5046682,7005
Diageo,ORD-00290179_Diageo_Whisky Widget_PHD_Jan-June25,1938830,Alcohol,2025-01-01,5046682,7005
BBC Good Food,Magazine-Subscription-GF-Christmas-Issue,2230055,Food,2026-01-01,4741773,1931
Nutracheck,Nutracheck,1856812,On-Demand,2025-01-01,4647153,5606
Morrisons,ORD-00283323_Morrisons_Wavemaker_May-Nov 2024 partnership,1640453,Supermarket,2024-01-01,4400071,2624
Sarson's,ORD-00288776_Sarsons Vinegar_Brewed for Food Burst 2_Food_Sep24,1789636,Food,2024-01-01,4247700,42471
Aldi,ORD-00299514_Direct_AldiEaster2026,2271794,Food,2026-01-01,3944639,1163
Aldi,ORD-00295386_Direct_Aldi_August_Digi_2025,2080311,Supermarket,2025-01-01,3661025,1679
Aldi,ORD-00295386_Direct_Aldi_August_Digi_2025,2080311,Supermarket,2025-01-01,3557601,1613
Diageo,ORD-00282260_ Diageo_Cocktail Widget_PHD_MarJun24,1604691,Alcohol,2024-01-01,3355216,11149
Audible,Audible_wavemaker_Comedy_July25,2054149,Entertainment,2025-01-01,3333894,32856
Screw This Podcast - House Campaign ,Screw This Podcast - House Campaign 2026,2241750,On-Demand,2026-01-01,3270835,1097
BBC Good Food,Magazine-Subscription-GF-Christmas-Issue,2230055,Food,2026-01-01,3269604,1097
Aldi,ORD-00298137_ Direct- Aldi - Starcom - Jan GF - 12/01 - 31/01 2026,2232285,Supermarket,2026-01-01,2991888,10241
Florette,ORD-00292672_Florette_Caratleeds_Partnership_May-July2025,1993798,Food,2025-01-01,2932228,3259
Immediate Media,Good Food HDP- 2024,1672285,Food,2024-01-01,2902816,1357
BBC Good Food,Magazine-Subscription-GF-Christmas-Issue,2230055,Food,2026-01-01,2898388,701
Morrisons,ORD-00283323_Morrisons_Wavemaker_May-Nov 2024 partnership,1640453,Supermarket,2024-01-01,2801451,4279
