segment_name,platform,reach,category,description,plain_english,code,frequency,window,icon_key
White Wine fans,Permutive,267987,Food & Drink,This is a segment of users who have browsed for white wine fans content at least 2 times in the last 90 days.,Regularly browses white wine fans content,189336,R,90 Days,food-drink
Cultural Food fans,Permutive,1293313,Food & Drink,This is a segment of users who have browsed for cultural food fans content at least 5 times at any point in time.,Frequently browses cultural food fans content,56420,F,All Time,food-drink
Non-alcoholic Drink Fans,Permutive,78636,Food & Drink,This is a segment of users who have browsed for non-alcoholic drink content at least 2 times at any point in time.,Regularly browses non-alcoholic drink content,22058,R,All Time,food-drink
Indiana Jones Franchise & Similar Fans,Permutive,25040,Arts & Entertainment,This is a segment of users who have browsed for indiana jones franchise & similar content at least once at any point in time.,Browses indiana jones franchise & similar content,192291,,,arts-entertainment
Turkish Cusine Fans,Permutive,13762,Food & Drink,This is a segment of users who have browsed for turkish cusine content at least 2 times at any point in time.,Regularly browses turkish cusine content,22143,R,All Time,food-drink
Bulbs and Seeds Fans,Permutive,7067,Gardening,This is a segment of users who have browsed for bulbs and seeds content at least once at any point in time.,Occasionally browses bulbs and seeds content,209460,O,All Time,gardening
Tech Fans,Permutive,1,Interest,This is a segment of users who have browsed for tech content at least 2 times at any point in time.,Regularly browses tech content,7433,R,All Time,interest
Hatchback Fans,Permutive,133409,Auto,This is a segment of users who have browsed for hatchback content at least 2 times at any point in time.,Regularly browses hatchback content,10188,R,All Time,auto
Kardashians Fans Lookalike,Permutive,569516,Arts & Entertainment,This is a lookalike segment based on the 'Kardashians Fans' seed segment.,Regularly browses related content,241256,R,90 Days,arts-entertainment
Battle Royale Games Fans,Permutive,21381,Gaming,This is a segment of users who have browsed for battle royale games content at least once at any point in time.,Occasionally browses battle royale games content,207138,O,All Time,gaming
Stranger Things Fans,Permutive,32010,Arts & Entertainment,This is a segment of users who have browsed for stranger things content at least 2 times at any point in time.,Regularly browses stranger things content,28333,R,All Time,arts-entertainment
Motorsport Fans,Permutive,291097,Sports,This is a segment of users who have browsed for motorsport content at least 2 times in the last 90 days.,Regularly browses motorsport content,192538,R,90 Days,sports
Hybrids/EVs/Future Fans,Permutive,304460,Auto,This is a segment of users who have browsed for hybrids/evs/future content at least once at any point in time.,Occasionally browses hybrids/evs/future content,10952,O,All Time,auto
Radiotimes Fans,Permutive,3534999,Arts & Entertainment,This is a segment of users who have browsed for radiotimes content at least 2 times at any point in time.,Regularly browses radiotimes content,6247,R,All Time,arts-entertainment
Tennis Fans,Permutive,74922,Sports,This is a segment of users who have browsed for tennis content at least once at any point in time.,Occasionally browses tennis content,140503,O,All Time,sports
Mobile Gaming Fans,Permutive,5495,Interest,This is a segment of users who have browsed for mobile gaming content at least 2 times at any point in time.,Regularly browses mobile gaming content,120675,R,All Time,interest
Kings and Queens Fans,Permutive,2180,History Extra,This is a segment of users who have browsed for kings and queens content at any point in time.,Browses kings and queens content,22262,,,history-extra
Family TV fans,Permutive,104186,Uncategorised,This is a segment of users whp have browsed the 'Family' section on Radio Times at any point in time.,Browses related content,41154,,,uncategorised
Greek Cuisine Fans,Permutive,4474,Food & Drink,This is a segment of users who have browsed for greek cuisine content at least once at any point in time.,Occasionally browses greek cuisine content,19671,O,All Time,food-drink
Christchurch Geolocation,Permutive,6259,Geo targeting,This is a segment of users who accessed our content from a Christchurch geolocation in the last 30 days.,Occasionally browses related content,212452,O,30 Days,geo-targeting
Marvel Fans,Permutive,127212,Arts & Entertainment,This is a segment of users who have browsed for marvel content at least 2 times at any point in time.,Regularly browses marvel content,122567,R,All Time,arts-entertainment
Gardeners World Premium Fans Lookalike,Permutive,635441,Gardening,This is a lookalike segment based on the 'Gardeners World Premium Fans' seed segment.,Occasionally browses related content,221396,O,90 Days,gardening
Female Protagonists Fans,Permutive,82756,Arts & Entertainment,This is a segment of users who have browsed for female protagonists content at least once at any point in time.,Occasionally browses female protagonists content,201898,O,All Time,arts-entertainment
Paramount+ Fans,Permutive,128877,Arts & Entertainment,This is a segment of users who have browsed for paramount+ content at least once at any point in time.,Occasionally browses paramount+ content,183253,O,All Time,arts-entertainment
History Extra Super fans 6+,Permutive,27418,Interest,This is a segment of users who have browsed for history extra super fans 6+ content at least 5 times at any point in time.,Frequently browses history extra super fans 6+ content,8047,F,All Time,interest
Gut-Friendly Diet Fans,Permutive,305036,Food & Drink,This is a segment of users who have browsed for gut-friendly diet content at least 5 times in the last 90 days.,Frequently browses gut-friendly diet content,123355,F,90 Days,food-drink
Flower lovers Fans,Permutive,980226,Gardening,This is a segment of users who have browsed for flower lovers content at least 2 times at any point in time.,Regularly browses flower lovers content,26095,R,All Time,gardening
Gaming Fans,Permutive,517748,Interest,This is a segment of users who have browsed for gaming content at least 2 times at any point in time.,Regularly browses gaming content,69724,R,All Time,interest
How to Fans,Permutive,387789,Gardening,This is a segment of users who have browsed for how to content at least 2 times at any point in time.,Regularly browses how to content,8140,R,All Time,gardening
Gin Fans,Permutive,492398,Food & Drink,This is a segment of users who have browsed for gin content at least 2 times at any point in time.,Regularly browses gin content,62522,R,All Time,food-drink
Romans Fans,Permutive,156051,Arts & Entertainment,This is a segment of users who have browsed for romans content at least 2 times at any point in time.,Regularly browses romans content,31027,R,All Time,arts-entertainment
Tennis Fans Lookalike,Permutive,912745,Sports,This is a lookalike segment based on the 'Tennis Fans' seed segment.,Occasionally browses related content,185620,O,All Time,sports
Sci-fi Lookalike,Permutive,657519,Arts & Entertainment,This is a lookalike segment based on the 'Sci-fi Fans' seed segment.,Regularly browses related content,146754,R,90 Days,arts-entertainment
Going Out Section Visitors Fans,Permutive,120606,RT,This is a segment of users who have browsed the 'going out' section on Radio Times at least once at any point in time.,Occasionally browses related content,227045,O,All Time,rt
